"date","open","high","low","close","adj_close","volume"
"2020-01-02","1.54","1.62","1.52","1.58","1.58","17814400"
"2020-01-03","1.55","1.56","1.46","1.47","1.47","14175600"
"2020-01-06","1.45","1.48","1.40","1.46","1.46","13579200"
"2020-01-07","1.44","1.46","1.36","1.38","1.38","20912000"
"2020-01-08","1.37","1.46","1.35","1.43","1.43","22517600"
"2020-01-09","1.46","1.46","1.37","1.39","1.39","10572000"
"2020-01-10","1.39","1.40","1.35","1.36","1.36","11125600"
"2020-01-13","1.36","1.40","1.33","1.36","1.36","14500800"
"2020-01-14","1.20","1.25","1.13","1.18","1.18","50247600"
"2020-01-15","1.17","1.18","1.14","1.15","1.15","19924400"
"2020-01-16","1.15","1.18","1.13","1.16","1.16","17148400"
"2020-01-17","1.15","1.19","1.13","1.19","1.19","16078000"
"2020-01-21","1.19","1.19","1.14","1.15","1.15","14128400"
"2020-01-22","1.14","1.16","1.12","1.14","1.14","10510000"
"2020-01-23","1.14","1.16","1.12","1.16","1.16","7520800"
"2020-01-24","1.16","1.16","1.06","1.08","1.08","16654400"
"2020-01-27","1.05","1.09","1.04","1.07","1.07","8490000"
"2020-01-28","1.08","1.08","1.05","1.05","1.05","8579600"
"2020-01-29","1.06","1.08","1.03","1.03","1.03","6210400"
"2020-01-30","1.03","1.03","0.97","0.98","0.98","12026000"
"2020-01-31","0.98","0.99","0.96","0.96","0.96","11566800"
"2020-02-03","0.97","1.00","0.96","0.99","0.99","8102400"
"2020-02-04","1.01","1.06","0.99","1.02","1.02","14252400"
"2020-02-05","1.04","1.10","1.04","1.05","1.05","10566800"
"2020-02-06","1.05","1.08","1.04","1.04","1.04","6041200"
"2020-02-07","1.03","1.03","0.94","0.95","0.95","10969200"
"2020-02-10","0.96","1.03","0.94","0.99","0.99","11108000"
"2020-02-11","1.00","1.06","0.99","1.01","1.01","13660000"
"2020-02-12","1.03","1.13","1.02","1.05","1.05","19282400"
"2020-02-13","1.03","1.07","1.02","1.03","1.03","8326800"
"2020-02-14","1.03","1.05","1.01","1.01","1.01","6330800"
"2020-02-18","1.00","1.02","0.99","1.02","1.02","5870400"
"2020-02-19","1.02","1.07","0.98","1.04","1.04","10372400"
"2020-02-20","1.04","1.08","1.03","1.04","1.04","6249200"
"2020-02-21","1.03","1.05","1.00","1.01","1.01","6782800"
"2020-02-24","0.98","0.98","0.93","0.93","0.93","14265200"
"2020-02-25","0.94","0.95","0.89","0.89","0.89","17791600"
"2020-02-26","0.90","0.91","0.84","0.85","0.85","18899200"
"2020-02-27","0.81","0.91","0.80","0.87","0.87","15518000"
"2020-02-28","0.84","0.93","0.84","0.90","0.90","18768800"
"2020-03-02","0.90","0.96","0.85","0.96","0.96","12833600"
"2020-03-03","0.97","0.97","0.88","0.91","0.91","17130000"
"2020-03-04","0.93","0.96","0.87","0.94","0.94","17030400"
"2020-03-05","0.93","1.00","0.90","0.99","0.99","14397600"
"2020-03-06","0.96","1.02","0.94","0.98","0.98","8387200"
"2020-03-09","0.90","0.99","0.88","0.93","0.93","10928000"
"2020-03-10","0.99","1.07","0.95","1.06","1.06","19452800"
"2020-03-11","1.04","1.06","1.00","1.04","1.04","17656400"
"2020-03-12","0.93","1.01","0.87","1.00","1.00","20493600"
"2020-03-13","1.03","1.16","0.96","1.15","1.15","23148800"
"2020-03-16","0.98","1.14","0.98","1.09","1.09","19466800"
"2020-03-17","1.10","1.16","1.03","1.06","1.06","14248800"
"2020-03-18","1.03","1.06","0.88","0.94","0.94","14606800"
"2020-03-19","0.93","1.05","0.89","1.05","1.05","20158000"
"2020-03-20","1.02","1.02","0.91","0.94","0.94","30888800"
"2020-03-23","0.90","0.97","0.88","0.95","0.95","24039200"
"2020-03-24","0.99","1.05","0.97","1.04","1.04","27222400"
"2020-03-25","1.04","1.12","1.01","1.04","1.04","14368400"
"2020-03-26","1.06","1.18","1.06","1.10","1.10","24742800"
"2020-03-27","1.24","1.27","1.04","1.06","1.06","28099200"
"2020-03-30","1.06","1.07","0.91","0.91","0.91","13402400"
"2020-03-31","0.91","0.95","0.88","0.88","0.88","9203600"
"2020-04-01","0.86","0.87","0.78","0.81","0.81","18274800"
"2020-04-02","0.82","0.84","0.71","0.71","0.71","16257200"
"2020-04-03","0.71","0.74","0.64","0.70","0.70","15321600"
"2020-04-06","0.72","0.80","0.71","0.77","0.77","13362000"
"2020-04-07","0.85","0.86","0.78","0.82","0.82","11347600"
"2020-04-08","0.81","0.92","0.80","0.85","0.85","11538000"
"2020-04-09","0.90","1.06","0.87","0.97","0.97","23634400"
"2020-04-13","1.06","1.19","1.04","1.19","1.19","27378000"
"2020-04-14","1.30","1.62","1.29","1.49","1.49","54026400"
"2020-04-15","1.42","1.42","1.23","1.32","1.32","29999600"
"2020-04-16","1.28","1.36","1.22","1.26","1.26","13487600"
"2020-04-17","1.31","1.32","1.11","1.22","1.22","22612800"
"2020-04-20","1.21","1.48","1.20","1.40","1.40","24340000"
"2020-04-21","1.31","1.33","1.19","1.20","1.20","16568400"
"2020-04-22","1.29","1.29","1.21","1.22","1.22","10711200"
"2020-04-23","1.19","1.22","1.15","1.18","1.18","9063600"
"2020-04-24","1.20","1.21","1.17","1.19","1.19","8944800"
"2020-04-27","1.21","1.50","1.20","1.46","1.46","29100400"
"2020-04-28","1.48","1.51","1.27","1.41","1.41","20800800"
"2020-04-29","1.46","1.52","1.36","1.51","1.51","13478400"
"2020-04-30","1.47","1.50","1.41","1.43","1.43","8693200"
"2020-05-01","1.41","1.55","1.36","1.51","1.51","16022400"
"2020-05-04","1.46","1.48","1.35","1.37","1.37","16272400"
"2020-05-05","1.39","1.41","1.34","1.35","1.35","8423600"
"2020-05-06","1.35","1.35","1.23","1.23","1.23","13478400"
"2020-05-07","1.21","1.23","1.16","1.22","1.22","10003200"
"2020-05-08","1.22","1.30","1.21","1.25","1.25","9410400"
"2020-05-11","1.23","1.24","1.19","1.19","1.19","6796800"
"2020-05-12","1.20","1.23","1.12","1.14","1.14","10556800"
"2020-05-13","1.14","1.14","1.02","1.05","1.05","11531600"
"2020-05-14","1.04","1.05","0.99","1.03","1.03","8019600"
"2020-05-15","1.01","1.11","1.01","1.06","1.06","7762400"
"2020-05-18","1.10","1.16","1.09","1.15","1.15","9456800"
"2020-05-19","1.15","1.19","1.09","1.11","1.11","7362800"
"2020-05-20","1.13","1.17","1.09","1.11","1.11","10174400"
"2020-05-21","1.11","1.16","1.10","1.11","1.11","7887600"
"2020-05-22","1.12","1.12","1.03","1.05","1.05","9519600"
"2020-05-26","1.09","1.15","1.08","1.11","1.11","14182800"
"2020-05-27","1.14","1.18","1.09","1.17","1.17","12586400"
"2020-05-28","1.19","1.19","1.08","1.08","1.08","8735600"
"2020-05-29","1.08","1.11","1.01","1.02","1.02","15846800"
"2020-06-01","1.03","1.09","1.01","1.03","1.03","10446400"
"2020-06-02","1.07","1.08","1.02","1.05","1.05","9477600"
"2020-06-03","1.06","1.13","1.05","1.11","1.11","12149600"
"2020-06-04","1.11","1.18","1.09","1.12","1.12","14057200"
"2020-06-05","1.07","1.10","1.02","1.04","1.04","25097600"
"2020-06-08","1.07","1.29","1.07","1.25","1.25","40534800"
